id,pIC50_mean,pIC50_median,smiles,pic50,assay_desc,assay_chembl_id,target_chembl_id,standard_value,standard_units,standard_type,human_agonists,pIC50
CHEMBL4473036,4.2441251443275085,4.2441251443275085,Clc1ccc(CO/N=C/c2c(-c3ccc(-c4ccccc4)cc3)nc3sccn23)cc1Cl,4.24,Agonist activity at human PXR transfected in human HepG2 cells cotransfected with CYP3A4 incubated for 23 hrs by luciferase reporter gene assay,CHEMBL4399411,CHEMBL3401,57000.0,nM,EC50,True,4.2441251443275085
CHEMBL45281,5.305394801066432,5.305394801066432,CCCN(CC1CC1)c1nc(C)nc(Nc2c(Cl)cc(Cl)cc2Cl)c1Cl,5.3,Agonist activity at PXR (unknown origin) expressed in human HepG2 cells assessed as induction of CYP3A4 transactivation after 16 hrs by luciferase reporter gene assay,CHEMBL2399371,CHEMBL3401,4950.0,nM,EC50,True,5.305394801066432
CHEMBL4529272,5.610833915635467,5.610833915635467,COc1ccc(F)c([C@H](C)Nc2cc(F)c(S(=O)(=O)Nc3cscn3)c(F)c2)c1,5.61,Agonist activity at PXR in human DPX2 cells after 24 hrs by luciferase reporter gene assay,CHEMBL4415866,CHEMBL3401,2450.0,nM,EC50,True,5.610833915635467
CHEMBL4530743,6.376750709602099,6.376750709602099,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2nccs2)cc1Cl)c1ccc(F)cc1F,6.38,Agonist activity at PXR in human DPX2 cells after 24 hrs by luciferase reporter gene assay,CHEMBL4415866,CHEMBL3401,420.0,nM,EC50,True,6.376750709602099
CHEMBL4544968,6.376750709602099,6.376750709602099,COC[C@H](Nc1cc(F)c(S(=O)(=O)Nc2nccs2)cc1Cl)c1ccccc1,6.38,Agonist activity at PXR in human DPX2 cells after 24 hrs by luciferase reporter gene assay,CHEMBL4415866,CHEMBL3401,420.0,nM,EC50,True,6.376750709602099
CHEMBL4558113,4.698970004336019,4.698970004336019,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl)c1cc(CN2CCC2)ccc1F,,Agonist activity at PXR in human DPX2 cells after 24 hrs by luciferase reporter gene assay,CHEMBL4415866,CHEMBL3401,20000.0,nM,EC50,True,4.698970004336019
CHEMBL4576432,5.136677139879544,5.136677139879544,C(=N/OCc1ccccc1)\c1c(-c2ccc3ccccc3c2)nc2occn12,5.14,Agonist activity at human PXR transfected in human HepG2 cells cotransfected with CYP3A4 incubated for 23 hrs by luciferase reporter gene assay,CHEMBL4399411,CHEMBL3401,7300.0,nM,EC50,True,5.136677139879544
CHEMBL4580996,6.3979400086720375,6.3979400086720375,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl)c1cc(F)ccc1F,6.4,Agonist activity at PXR in human DPX2 cells after 24 hrs by luciferase reporter gene assay,CHEMBL4415866,CHEMBL3401,400.0,nM,EC50,True,6.3979400086720375
CHEMBL4584424,5.958607314841775,5.958607314841775,C(=N/OCc1ccc(Oc2ccccc2)cc1)\c1c(-c2ccc3ccccc3c2)nc2occn12,5.96,Agonist activity at human PXR transfected in human HepG2 cells cotransfected with CYP3A4 incubated for 23 hrs by luciferase reporter gene assay,CHEMBL4399411,CHEMBL3401,1100.0,nM,EC50,True,5.958607314841775
CHEMBL4585141,4.698970004336019,4.698970004336019,O=S(=O)(Nc1cscn1)c1cc(Cl)c(NCc2cc(CN3CCC3)ccc2F)cc1F,,Agonist activity at PXR in human DPX2 cells after 24 hrs by luciferase reporter gene assay,CHEMBL4415866,CHEMBL3401,20000.0,nM,EC50,True,4.698970004336019
CHEMBL458603,6.00436480540245,6.00436480540245,Clc1ccc(-c2nc3sccn3c2/C=N/OCc2ccc(Cl)c(Cl)c2)cc1,6.0,Agonist activity at human PXR transfected in human HepG2 cells cotransfected with CYP3A4 incubated for 23 hrs by luciferase reporter gene assay,CHEMBL4399411,CHEMBL3401,990.0,nM,EC50,True,6.00436480540245
CHEMBL458767,7.159379381312206,7.159379381312206,CCOP(=O)(OCC)C(=Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)P(=O)(OCC)OCC,7.1,Agonist activity at human pregnane X receptor expressed in HEK293 cells by luciferase reporter gene assay,CHEMBL3385882,CHEMBL3401,80.0,nM,EC50,True,7.096910013008056
CHEMBL4758064,4.0,4.0,CC[C@H]1[C@@H](O)[C@@H]2[C@H]([C@@H](O)C[C@]3(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,,Agonist activity at human PXR,CHEMBL4681034,CHEMBL3401,100000.0,nM,EC50,True,4.0
CHEMBL4846130,5.0,5.0,O=C(O)CC[C@H]1CN(S(=O)(=O)c2cccc(C(F)(F)F)c2)c2cc(-c3cc(F)cc(F)c3)ccc2O1,,Agonist activity at human PXR-gamma expressed in HEK293 cells assessed as transcriptional activity in presence of ursolic acid by Gal4-luciferase reporter assay,CHEMBL4839622,CHEMBL3401,10000.0,nM,EC50,True,5.0
CHEMBL4846228,6.823908740944319,6.823908740944319,COc1ccc(C#N)cc1-n1nnc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c1C,7.3,Inverse agonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs by luciferase reporter assay,CHEMBL4834543,CHEMBL3401,50.0,nM,IC50,True,7.301029995663981
CHEMBL4846389,5.0,5.0,O=C(O)CC[C@H]1CN(S(=O)(=O)c2cccc(C(F)(F)F)c2)c2cc(/C=C/c3ccc(Cl)cc3F)ccc2O1,,Agonist activity at human PXR-gamma expressed in HEK293 cells assessed as transcriptional activity in presence of ursolic acid by Gal4-luciferase reporter assay,CHEMBL4839622,CHEMBL3401,10000.0,nM,EC50,True,5.0
CHEMBL4846510,5.0,5.0,O=C(O)CC[C@H]1CN(S(=O)(=O)c2cccc(C(F)(F)F)c2)c2cc(-c3cc(F)cc(OC(F)F)c3)ccc2O1,,Agonist activity at human PXR-gamma expressed in HEK293 cells assessed as transcriptional activity in presence of ursolic acid by Gal4-luciferase reporter assay,CHEMBL4839622,CHEMBL3401,10000.0,nM,EC50,True,5.0
CHEMBL4846575,4.7447274948966935,4.7447274948966935,O=C(O)C1(C[C@H]2CN(S(=O)(=O)c3cccc(C(F)(F)F)c3)c3cc(-c4cc(F)ccc4F)ccc3O2)COC1,4.75,Agonist activity at human PXR-gamma expressed in HEK293 cells assessed as transcriptional activity in presence of ursolic acid by Gal4-luciferase reporter assay,CHEMBL4839622,CHEMBL3401,18000.0,nM,EC50,True,4.7447274948966935
CHEMBL4846685,5.0,5.0,C/C(=C\c1ccc2c(c1)N(S(=O)(=O)c1cccc(C(F)(F)F)c1)C[C@H](CCC(=O)O)O2)c1c(Cl)cccc1Cl,,Agonist activity at human PXR-gamma expressed in HEK293 cells assessed as transcriptional activity in presence of ursolic acid by Gal4-luciferase reporter assay,CHEMBL4839622,CHEMBL3401,10000.0,nM,EC50,True,5.0
CHEMBL4847225,5.698970004336019,5.698970004336019,COc1ccc(CO)cc1-n1nnc(S(=O)(=O)c2ccc(C(C)(C)C)cc2)c1C,5.7,Antagonist activity at human PXR expressed in HepG2 cells co-expressing luciferase gene under control of CYP3A4 promoter incubated for 24 hrs in presence of 5 uM rifampicin by luciferase reporter assay,CHEMBL4834545,CHEMBL3401,2000.0,nM,IC50,True,5.698970004336019
