Smiles,pIC50
COC1=CC=C2C=CC(C3=CC=CN=C3)=C(Cl)C2=C1F,6.0
CCN(CC)CCN(CC1=CC=C(C2=CC=C(Cl)C=C2)C=C1)C(=O)CN1C(SCC2=CC=C(F)C=C2)=NC(=O)C2=C1CCC2,4.75
CC1=CC(C)=CC(O[C@H](C(=O)O)[C@@]2(C3=CC=CC=C3)NCC(=O)N(CC3=C(F)C=C(F)C=C3F)C3=CC=CC=C32)=C1,4.85
CCCCOC1=CC=C(C2=CC=NC=C2)C=C1,4.29
CC(SC1=NC2=CN=CC=C2N1C1=CC=C(C2CC2)C2=CC=CC=C12)C(=O)O,4.44
CC[C@@]1(O)C(=O)OCC2=C1C=C1C3=NC4=CC=C(O)C(CN(C)C)=C4C=C3CN1C2=O,5.82
COC(=O)N1CCN(C2CCN(C3=CC(C)=C4NC(C5=C(NCCC6=C(Cl)N(C)C=N6)C=CNC5=O)=NC4=C3)CC2)CC1,6.16
CC1=CN=C(C)N1CC(=O)C1=CC=C(C2=CC=C(N3C[C@H](CN4C=CN=N4)OC3=O)C=C2F)C=N1,4.97
COC1=NC(N2C[C@H]3C(=O)N(C)C(N)=N[C@@]3(C3=CC=C(C#N)S3)C2)=NC(C)=C1F,4.62
CSC1=NC=C(C2=C(CO)N(CC3=CC=CC=C3Cl)C3=CC=C(OC(F)(F)F)C=C23)C=N1,4.75
O=C(C1=CC(Cl)=CC=C1N1N=CC=N1)N1CCOC[C@H]1CC1=CC(C2=NOC=N2)=CC=C1F,4.66
CN(CC1=CC=CC=C1)CC1=CC=C(COC2=CC=C3C(CO)=CC(=O)OC3=C2)C=C1,5.16
NC(=O)C1=NC(C2=CC=CC(C3=CC=CC=C3OC(F)(F)F)=C2)=CS1,4.75
OC1=CC=C2C=CC(C3=CN=CC(F)=C3)=C(Cl)C2=C1,5.45
CC1=CC=CC=C1[C@H]1[C@@H]2CN(C3=NC(O)=CO3)C[C@H]2CC[C@@H]1O[C@H](CO)C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1,4.82
NC[C@H]1CC[C@]2(CC1)OOC1(O2)C2CC3CC(C2)CC1C3,5.01
CC1=CC(N2C=CN=C2)=CC2=C1N=C(C1=C(N[C@H](CO)CC3=CC=CC=C3)C=CNC1=O)N2,7.22
CC(C)(C)N1N=NN=C1C(NCCNC1=CC=NC2=CC(Cl)=CC=C12)C1=CC=C(Cl)C=C1,7.1
CC1=CC=C(C(=O)NC2=CC=C(CN3CCC4C=NNC4C3)C(Cl)=C2)C=C1C#CC1=CN=C2C=CC=NN12,5.25
CCN1C=C(C2=CC=C([C@H](C)N3CC[C@](CC(C)(C)O)(C4=CC=C(F)C=C4)OC3=O)C=C2)C=CC1=O,4.32
C1=CC([C@H]2CC[C@H](N3CCCC3)CC2)=CC=C1OCCCN1CCCCC1,4.32
OC1CCC(C(O)CC2C3=C(F)C=CC=C3C3=CN=CN32)CC1,5.48
C=CCN1CC(=O)N2C(CN(CC3=CC=CC4=C3N(C)C=C4C(=O)NC3=CC=C(N4CCN(CC)CC4)N=C3)C(=O)[C@@H]2CC2=CC=C(O)C=C2)N1C(=O)NCC1=CC=CC=C1,5.24
CN(C)CC(=O)N1CCC(C2=CC=C(NC(=O)C3=NC(C#N)=CN3)C(C3=CCCCC3)=C2)CC1,5.32
CC(C)C(O)(C1=CC=C2C=C(C3=CC=CS3)C=CC2=C1)C1=CNN=N1,4.09
COC[C@@H](OC1=CC(C[C@@H]2C[S@@+]([O-])C[C@H](NCC3=NOC(CC(C)(C)C)=C3)[C@H]2O)=CC(F)=C1N)C(F)(F)F,5.96
